Origin,Destination,Distance,Time
8,55,468,84
8,56,1213,211
8,57,875,156
8,58,805,144
8,59,797,142
8,60,1777,358
8,61,497,88
8,62,902,161
8,63,844,146
8,64,177,33
8,65,892,157
8,66,892,157
8,67,503,89
8,68,655,113
8,69,811,145
8,70,527,93
8,71,1252,279
8,72,630,114
8,73,785,140
8,74,807,145
8,75,470,82
8,76,583,100
8,77,1209,259
8,78,1209,259
8,79,83,16
8,80,1688,343
8,81,1111,195
8,82,414,72
8,83,1070,187
8,84,800,143
8,85,777,138
8,86,1194,268
8,87,1111,195
8,88,741,126
8,89,729,130
8,90,537,94
8,91,1317,289
8,92,193,35
8,93,775,136
8,94,990,164
8,95,656,113
8,96,616,108
8,97,774,134
8,98,112,21
8,99,725,125
8,100,1545,339
8,101,684,119
8,102,735,128
8,103,190,32
8,104,236,40
8,105,216,36
8,106,805,138
8,107,630,114
8,108,415,74
8,109,174,29
8,110,174,29
8,111,892,157
8,112,1082,192
8,113,646,111
8,114,505,91
8,115,818,144
8,116,482,83
8,117,390,68
8,118,934,169
8,119,327,58
8,120,477,82
8,121,698,125
8,122,750,130
8,123,1292,223
8,124,1077,218
8,125,1039,184
8,126,364,63
8,127,943,165
8,128,363,65
8,129,477,82
8,130,760,131
9,1,1035,210
9,2,969,168
9,3,969,168
9,4,490,87
9,5,1569,269
9,6,1569,269
9,7,574,102
9,8,820,141
9,10,1136,196
9,11,1136,196
9,12,526,88
9,13,513,92
9,14,945,164
9,15,574,102
9,16,892,154
9,17,1594,275
9,18,559,93
9,19,1462,253
9,20,1457,251
9,21,1396,240
9,22,493,89
9,23,116,20
9,24,214,37
9,25,1000,174
9,26,165,28
9,27,1283,220
9,28,911,158
9,29,1431,247
9,30,1665,289
9,31,196,34
9,32,1552,267
9,33,1447,249
9,34,905,157
9,35,209,38
9,36,818,207
9,37,1626,283
9,38,1223,213
9,39,1656,288
9,40,624,103
9,41,840,149
9,42,1154,199
9,43,766,131
9,44,828,148
9,45,376,61
9,46,376,61
9,47,1204,210
9,48,939,164
9,49,1046,181
9,50,1044,183
9,51,815,141
9,52,1409,243
9,53,279,46
9,54,1490,302
9,55,333,58
9,56,771,131
9,57,781,139
9,58,1090,192
9,59,1082,190
9,60,1435,292
9,61,1247,217
9,62,253,46
9,63,1594,275
9,64,1019,179
9,65,1642,286
9,66,1642,286
9,67,1253,218
9,68,1405,242
9,69,647,116
9,70,1277,222
9,71,1056,255
9,72,171,30
9,73,1070,188
9,74,352,63
9,75,1220,211
9,76,1333,229
9,77,1231,258
9,78,1231,258
9,79,925,162
9,80,1523,308
9,81,1233,217
9,82,1164,201
9,83,250,41
9,84,637,114
9,85,42,7
9,86,998,244
9,87,1233,217
9,88,764,125
9,89,90,16
9,90,559,93
9,91,497,143
9,92,1103,192
9,93,1510,262
9,94,1012,163
9,95,1406,242
9,96,1366,237
9,97,1524,263
9,98,876,153
9,99,1475,254
9,100,726,193
9,101,1434,248
9,102,1302,227
9,103,845,144
9,104,799,137
9,105,819,140
9,106,1555,267
9,107,171,30
9,108,1165,203
9,109,859,146
9,110,859,146
9,111,1642,286
9,112,1082,218
9,113,1396,240
9,114,626,112
9,115,1568,273
9,116,1232,212
9,117,1140,197
9,118,464,83
9,119,1146,200
9,120,1227,211
9,121,537,97
9,122,1500,259
9,123,678,113
